[array([ 90., 397.]), [np.float64(53.27134728328709), np.float64(11.175188979625315), 55]]
[array([ 90., 398.]), [np.float64(53.27133952518742), np.float64(11.175189588983436), 55]]
[array([ 91., 399.]), [np.float64(53.27133143415153), np.float64(11.17517726771953), 55]]
[array([ 92., 399.]), [np.float64(53.271331101099676), np.float64(11.175164336002902), 55]]
[array([ 92., 398.]), [np.float64(53.27133885976919), np.float64(11.175163726454269), 55]]
[array([ 91., 397.]), [np.float64(53.27134695092069), np.float64(11.175176048812787), 55]]
[array([ 90., 396.]), [np.float64(53.27135504147403), np.float64(11.17518837026034), 55]]
[[0, 0], [0, 0, 0]]
[array([92., 93.]), [np.float64(53.27370933374428), np.float64(11.174977493599474), 54]]
[array([93., 93.]), [np.float64(53.2737091015601), np.float64(11.17496453051165), 54]]
[array([93., 94.]), [np.float64(53.2737013158717), np.float64(11.174965142256125), 54]]
[array([92., 93.]), [np.float64(53.27370933374428), np.float64(11.174977493599474), 54]]
[[0, 0], [0, 0, 0]]
[array([ 94., 398.]), [np.float64(53.27133819423759), np.float64(11.175137859518655), 55]]
[array([ 95., 397.]), [np.float64(53.27134562117194), np.float64(11.175124314546423), 55]]
